sample	P057	P054	P052	P050	P049	P048	P047	P046	P044	P043	P042	P039	P037	P036	P035	P034	P029	P028	P027	P014	P007	P006	P003	P002	MSM_L2_F2	MSM_L2_F1	MSM_L2_E8	MSM_L2_E7	MSM_L2_E5	MSM_L2_E3	MSM_L2_E12	MSM_L2_E11	MSM_L2_D9	MSM_L2_D5	MSM_L2_D2	MSM_L2_C9	MSM_L2_C8	MSM_L2_C7	MSM_L2_C6	MSM_L2_C2	MSM_L2_C1	MSM_L2_B9	MSM_L2_B8	MSM_L2_B6	MSM_L2_B5	MSM_L2_B12	MSM_L2_B11	MSM_L2_A8	MSM_L2_A5	MSM_L2_A1	MSM_L2_A12	MSM_L2_A10
number_partners	>3	0_3	>3	>3	>3	>3	>3	>3	>3	0_3	>3	>3	>3	>3	>3	0_3	>3	>3	0_3	0_3	0_3	>3	0_3	0_3	0_3	0_3	>3	0_3	0_3	>3	0_3	0_3	0_3	>3	0_3	0_3	>3	0_3	0_3	0_3	0_3	0_3	>3	0_3	>3	>3	>3	>3	>3	>3	>3	0_3
Methanomassiliicoccales_archaeon|t__SGB376	0.0	0.0	0.0	0.0	0.01322	0.36406	0.0	0.02837	0.0	0.37405	0.0	0.0	0.0	0.38692	0.66273	0.0	0.0	0.0	0.0	0.65572	0.00723	0.0	0.21609	0.58817	0.0	0.0	0.0	0.34248	1.49039	1.4409	0.0	0.0	0.0	0.0	0.0	0.31103	0.0	0.11871	0.0	0.0	0.0	0.23146	0.0	0.71411	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15963
GGB781_SGB1024|t__SGB1024	0.0	0.009	0.0	0.0	0.0	3.88059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37818	0.11048	0.0	0.39669	0.0012	0.0	0.74734	0.0	0.28977	3.57741	0.0	0.0	0.0	0.03038	0.0	0.0	0.0	2.54409	0.0	0.0	0.0	0.0	0.09457	0.0	0.0	0.0	0.0	0.0	0.07851	0.06587	0.02963	0.00345	0.0	0.0	0.0	0.0	0.15348	0.05391
Methanobrevibacter_smithii|t__SGB714_group	0.0	0.0	0.0	0.0	0.19154	0.05329	0.0	0.0	0.01832	0.19495	0.5802	0.0	0.22944	0.02492	0.30235	0.01632	0.0	0.0	0.00069	0.16184	0.00098	0.0	0.0	0.92493	0.0	0.0	0.0	0.03918	0.0224	0.43115	0.0	0.0	0.0	0.0	0.0	0.02729	0.15305	0.00222	0.0	0.03962	0.0	0.00452	0.01617	0.11854	0.00418	0.0	0.03091	0.00209	0.0132	0.0	0.0	0.00397
Actinomyces_SGB17154|t__SGB17154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00072	0.0	0.0	0.0	0.0	0.00067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00951
Actinomyces_SGB17168|t__SGB17168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinomyces_bouchesdurhonensis|t__SGB17152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinomyces_graevenitzii|t__SGB17130	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01233
Actinomyces_oris|t__SGB15878	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinomyces_sp_ICM47|t__SGB17167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00257	0.0	0.0	0.0
Actinomyces_sp_ICM58|t__SGB17169	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00609
Actinomyces_sp_S6_Spd3|t__SGB17132_group	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00229	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00477	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00019	0.0	0.0	0.0	0.0	0.0
Schaalia_turicensis|t__SGB17195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02789	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01216	0.00525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00138	0.0	0.0	0.0	0.0
Trueperella_pyogenes|t__SGB17137	0.0	0.0	0.0	0.0	0.00147	0.0	0.00398	0.00074	0.0	0.0	0.0	0.0	0.00348	0.00014	0.0	0.0	0.0	0.0	0.01172	0.0	0.0	0.0	0.00289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0271	0.01433	0.0	0.0	0.0	0.0	0.00061	0.0	0.0	0.0	0.0	0.00055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00274
Alloscardovia_omnicolens|t__SGB17300	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bifidobacterium_adolescentis|t__SGB17244	0.0	0.09138	0.04242	0.0	0.0	0.09462	0.38965	0.10386	0.19543	0.0	0.0	0.0	0.08375	0.30107	0.0	0.08962	0.0	0.0	0.0	2.43274	0.30498	0.00072	0.43797	0.18353	0.82184	0.34809	0.00647	0.07247	0.0	0.0	0.0	0.04851	0.01616	0.0	0.0	1.50091	0.06583	0.0	0.0	0.49019	0.0915	0.0	0.80275	0.10338	0.07889	0.0	0.0	0.62663	0.4053	0.0	0.20666	0.24364
Bifidobacterium_angulatum|t__SGB17231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15441
Bifidobacterium_animalis|t__SGB17278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01211	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08253	0.0	0.03696
Bifidobacterium_bifidum|t__SGB17256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bifidobacterium_breve|t__SGB17247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bifidobacterium_catenulatum|t__SGB17241	0.13082	0.0	0.00073	0.0	0.0	0.0	0.0	0.0	0.0	0.81084	0.0	0.01496	0.0	0.0	0.0	0.0	0.0	0.31232	0.0	0.0	0.0	0.0	0.0635	0.00305	0.81732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34988	0.01679	0.01585	0.00437	0.0	0.00478	0.0	0.0	0.0	0.01987
Bifidobacterium_dentium|t__SGB17234	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bifidobacterium_longum|t__SGB17248	0.0092	0.05369	0.00632	0.0	0.0	0.04018	0.00067	0.06731	0.0	0.12217	0.31008	0.00959	0.0	0.00017	0.00089	0.08156	0.0	0.0	0.07358	0.24198	0.01494	0.00326	0.31254	0.00611	1.6849	0.10434	0.0	0.0	0.00918	0.0	0.03914	0.0	0.00253	0.43397	0.0	0.0418	0.01893	0.0	6.29942	0.52212	0.00247	0.0	0.0357	0.0	0.00034	0.0	0.02832	0.06061	0.00534	0.0	0.0	0.0
Bifidobacterium_pseudocatenulatum|t__SGB17237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gardnerella_vaginalis|t__SGB17302	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gardnerella_vaginalis|t__SGB17305	0.0	0.0	0.0	0.0	0.0	0.00199	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gardnerella_vaginalis|t__SGB17307	0.0	0.0	0.0	0.0	0.0	0.00189	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gardnerella_vaginalis|t__SGB7097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scardovia_wiggsiae|t__SGB15494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00278	0.00856	0.00086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Microbacterium_SGB53518|t__SGB53518	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
