sample	P057	P054	P052	P050	P049	P048	P047	P046	P044	P043	P042	P040	P039	P037	P036	P035	P034	P029	P028	P027	P022	P019	P016	P015	P014	P013	P011	P009	P007	P006	P004	P003	P002	MSM_L2_F7	MSM_L2_F6	MSM_L2_F5	MSM_L2_F4	MSM_L2_F3	MSM_L2_F2	MSM_L2_F1	MSM_L2_E9	MSM_L2_E8	MSM_L2_E7	MSM_L2_E6	MSM_L2_E5	MSM_L2_E4	MSM_L2_E3	MSM_L2_E2	MSM_L2_E1	MSM_L2_E12	MSM_L2_E11	MSM_L2_E10	MSM_L2_D9	MSM_L2_D8	MSM_L2_D7	MSM_L2_D6	MSM_L2_D5	MSM_L2_D4	MSM_L2_D3	MSM_L2_D2	MSM_L2_D1	MSM_L2_D12	MSM_L2_D11	MSM_L2_D10	MSM_L2_C9	MSM_L2_C8	MSM_L2_C7	MSM_L2_C6	MSM_L2_C2	MSM_L2_C1	MSM_L2_C12	MSM_L2_B9	MSM_L2_B8	MSM_L2_B6	MSM_L2_B5	MSM_L2_B12	MSM_L2_B11	MSM_L2_A8	MSM_L2_A5	MSM_L2_A1	MSM_L2_A12	MSM_L2_A10	MSM_L1_D8	MSM_L1_D5	MSM_L1_D4	MSM_L1_D3	MSM_L1_D1	MSM_L1_D12	MSM_L1_D10	MSM_L1_C7	MSM_L1_C6	MSM_L1_C3	MSM_L1_C2	MSM_L1_B9	MSM_L1_B8	MSM_L1_B6	MSM_L1_B5	MSM_L1_B3	MSM_L1_B2	MSM_L1_B1	MSM_L1_B11	MSM_L1_B10	MSM_L1_A9	MSM_L1_A7	MSM_L1_A6	MSM_L1_A5	MSM_L1_A12	MSM_L1_A10	KHK8	KHK59	KHK58	KHK57	KHK56	KHK55	KHK54	KHK53	KHK52	KHK51	KHK4	KHK48	KHK46	KHK44	KHK43	KHK3	KHK39	KHK37	KHK36	KHK35	KHK34	KHK33	KHK2	KHK29	KHK28	KHK25	KHK24	KHK1	KHK19	KHK16	KHK11
sexual_orientation	MSM	MSM	MSM	MSM	MSM	MSM	MSM	MSM	MSM	MSM	MSM	heterosexual	MSM	MSM	MSM	MSM	MSM	MSM	MSM	MSM	heterosexual	heterosexual	heterosexual	heterosexual	MSM	heterosexual	heterosexual	heterosexual	MSM	MSM	heterosexual	MSM	MSM	heterosexual	heterosexual	heterosexual	heterosexual	heterosexual	MSM	MSM	MSM	MSM	MSM	MSM	MSM	MSM	MSM	MSM	MSM	MSM	MSM	heterosexual	MSM	MSM	MSM	MSM	MSM	heterosexual	MSM	MSM	MSM	MSM	MSM	MSM	MSM	MSM	MSM	MSM	MSM	MSM	MSM	MSM	MSM	MSM	MSM	MSM	MSM	MSM	MSM	MSM	MSM	MSM	MSM	MSM	heterosexual	MSM	heterosexual	MSM	MSM	heterosexual	heterosexual	MSM	heterosexual	MSM	heterosexual	MSM	MSM	heterosexual	MSM	heterosexual	heterosexual	MSM	heterosexual	MSM	MSM	MSM	heterosexual	MSM	MSM	MSM	MSM	MSM	MSM	heterosexual	MSM	MSM	MSM	heterosexual	heterosexual	MSM	MSM	MSM	MSM	MSM	MSM	heterosexual	MSM	MSM	MSM	MSM	MSM	MSM	MSM	MSM	MSM	heterosexual	MSM	MSM	MSM
HIV_status	negative	positive	positive	negative	negative	negative	negative	negative	positive	negative	positive	positive	positive	negative	negative	negative	positive	positive	negative	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	negative	negative	negative	negative	negative	negative	negative	positive	positive	negative	positive	positive	positive	positive	positive	positive	negative	negative	positive	positive	positive	positive	positive	negative	positive	negative	positive	positive	positive	negative	negative	negative	negative	positive	positive	positive	positive	positive	positive	negative	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive	positive
ethnicity	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Asian	Caucasian	Caucasian	Caucasian	Caucasian	Asian	Caucasian	Afro-African	Caucasian	Caucasian	Afro-African	Afro-African	Caucasian	Caucasian	Caucasian	Afro-African	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian	Caucasian
antibiotics_6month	Yes	No	No	No	Yes	Yes	No	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes		No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	Yes	No	No	Yes	No	No	No	Yes	No	No	No	No	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	Yes	No	Yes	No	No	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	No	No	Yes	No	No	No	Yes	No	No	No	No	Yes	No	No	No	No	No	Yes	No	No	No	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	No	Yes	No	No	No	Yes	No	No	No	No	Yes	No	No	No	No	No	Yes	Yes
BMI_kg_m2_WHO	ObeseClassI	Overweight	Normal	Normal	Overweight	Normal	ObeseClassIII	Normal	Overweight	Overweight	Normal	Overweight	Overweight	Normal	Normal	Normal	Overweight	Overweight	Normal	Normal	ObeseClassI	Overweight	Overweight	Normal	Normal	Normal	Overweight	Overweight	Overweight	ObeseClassII	ObeseClassI	Normal	Overweight	none	none	none	none	none	Overweight	Normal	ObeseClassI	Overweight	Overweight	Overweight	Normal	Normal	Normal	Normal	Overweight	Overweight	Normal	Overweight	Overweight	Overweight	Overweight	Normal	Normal	Overweight	Overweight	Overweight	Normal	Normal	ObeseClassIII	Normal	Normal	Normal	Normal	Underweight	Overweight	Overweight	Normal	Normal	Normal	Overweight	Normal	Normal	Normal	Normal	Overweight	Normal	Overweight	Normal	Normal	Normal	Normal	Overweight	ObeseClassI	Normal	ObeseClassI	Overweight	Overweight	Normal	Normal	Overweight	Normal	Overweight	Overweight	Normal	Overweight	ObeseClassII	Underweight	Overweight	Underweight	Overweight	Overweight	ObeseClassI	Overweight	Overweight	Overweight	Normal	ObeseClassI	Normal	Normal	Overweight	Normal	Overweight	Overweight	ObeseClassI	Overweight	Normal	Normal	Overweight	Normal	Overweight	Overweight	ObeseClassI	Overweight	Normal	ObeseClassI	Normal	Normal	Overweight	Normal	Normal	Normal	Normal	Normal	Normal	Normal
Methanomassiliicoccales_archaeon|t__SGB376	0.0	0.0	0.0	0.0	0.01322	0.36406	0.0	0.02837	0.0	0.37405	0.0	0.0	0.0	0.0	0.38692	0.66273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65572	0.0	0.0	0.0	0.00723	0.0	0.0	0.21609	0.58817	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34248	0.0	1.49039	0.0	1.4409	0.0	0.01455	0.0	0.0	0.0	0.0	0.0	0.51271	0.0	0.0	0.0	0.0	0.0	0.0	0.43964	0.0	0.04183	0.31103	0.0	0.11871	0.0	0.0	0.0	0.52622	0.23146	0.0	0.71411	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21246	0.0	0.75286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.68891	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.98282	0.0
GGB1567_SGB2154|t__SGB2154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00487	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.34816	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GGB781_SGB1024|t__SGB1024	0.0	0.009	0.0	0.0	0.0	3.88059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37818	0.11048	0.0	0.39669	0.0012	0.0	0.19347	0.0	0.0	0.0	0.0	0.0	2.22157	0.74734	0.0	0.0	0.28977	3.57741	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03038	0.00472	0.0	0.0	0.0	0.0	0.0	0.0	2.54409	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.86452	0.0	0.0	0.0	0.09457	0.0	0.0	0.0	0.0	0.0	0.0	0.07851	0.06587	0.02963	0.00345	0.0	0.0	0.0	0.0	0.15348	0.05391	0.0	0.0	0.0	0.0	0.0	0.26074	0.0	0.0	0.0	0.01012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15937	0.0292	0.0	2.9712	0.00477	3.89682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13508	0.0	0.46495	0.0	0.10177	0.0	0.0	0.40392	0.0	0.0	0.0	0.0	0.0	0.37757	0.0
Methanobrevibacter_smithii|t__SGB714_group	0.0	0.0	0.0	0.0	0.19154	0.05329	0.0	0.0	0.01832	0.19495	0.5802	0.0	0.0	0.22944	0.02492	0.30235	0.01632	0.0	0.0	0.00069	0.19368	0.0	0.01611	0.0	0.16184	1.36292	0.0	0.09605	0.00098	0.0	0.00752	0.0	0.92493	0.0	0.0	0.0	0.00321	0.0	0.0	0.0	0.0	0.0	0.03918	0.0	0.0224	0.0	0.43115	0.0	0.04429	0.0	0.0	0.0	0.0	0.00376	0.06518	0.15034	0.0	0.0	0.0	0.0	0.07501	0.01753	0.0	0.0	0.02729	0.15305	0.00222	0.0	0.03962	0.0	0.01098	0.00452	0.01617	0.11854	0.00418	0.0	0.03091	0.00209	0.0132	0.0	0.0	0.00397	0.0	0.0	0.0	0.30433	0.0	0.00235	0.0	0.0	0.0	0.15878	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.58462	0.0	0.0	0.0	0.0	0.07147	0.0	0.0	0.00688	0.02385	0.0	0.0	0.03397	0.28708	0.09191	0.0	0.01813	0.01628	0.0	0.08074	0.0	0.00677	0.03682	0.0	0.0	0.0	0.2388	0.03448	0.00172	0.00178	0.0	0.3458	0.0	0.0	0.0	0.0	0.0	0.47478	0.0
Actinomyces_SGB17154|t__SGB17154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00072	0.0	0.0	0.0	0.0	0.0	0.00067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00951	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
