sample	country	westernization
A01_02_1FE	MDG	NW
A02_01_1FE	MDG	NW
A03_01_1FE	MDG	NW
A04_01_1FE	MDG	NW
A04_04_1FE	MDG	NW
A05_01_1FE	MDG	NW
A06_01_1FE	MDG	NW
A07_01_1FE	MDG	NW
A08_01_1FE	MDG	NW
A09_01_1FE	MDG	NW
A09_02_1FE	MDG	NW
A10_01_1FE	MDG	NW
A10_02_1FE	MDG	NW
A11_01_1FE	MDG	NW
A13_01_1FE	MDG	NW
A13_03_1FE	MDG	NW
A14_01_1FE	MDG	NW
A15_02_1FE	MDG	NW
A19_01_1FE	MDG	NW
A20_01_1FE	MDG	NW
A20_03_1FE	MDG	NW
A22_01_1FE	MDG	NW
A23_01_1FE	MDG	NW
A24_02_1FE	MDG	NW
A24_04_1FE	MDG	NW
A25_01_1FE	MDG	NW
A27_02_1FE	MDG	NW
A28_02_1FE	MDG	NW
A29_01_1FE	MDG	NW
A32_01_1FE	MDG	NW
A34_01_1FE	MDG	NW
A34_02_1FE	MDG	NW
A35_01_1FE	MDG	NW
A36_01_1FE	MDG	NW
A36_02_1FE	MDG	NW
A39_01_1FE	MDG	NW
A39_02_1FE	MDG	NW
A39_04_1FE	MDG	NW
A40_02_1FE	MDG	NW
A41_01_1FE	MDG	NW
A42_02_1FE	MDG	NW
A43_02_1FE	MDG	NW
A44_01_1FE	MDG	NW
A45_02_1FE	MDG	NW
A46_01_1FE	MDG	NW
A46_02_1FE	MDG	NW
A47_01_1FE	MDG	NW
A47_02_1FE	MDG	NW
A48_01_1FE	MDG	NW
A48_05_1FE	MDG	NW
A49_01_1FE	MDG	NW
A53_01_1FE	MDG	NW
A54_02_1FE	MDG	NW
A55_01_1FE	MDG	NW
A55_02_1FE	MDG	NW
A56_01_1FE	MDG	NW
A58_01_1FE	MDG	NW
A58_03_1FE	MDG	NW
A59_01_1FE	MDG	NW
A62_01_1FE	MDG	NW
A62_03_1FE	MDG	NW
A66_02_1FE	MDG	NW
A67_01_1FE	MDG	NW
A68_01_1FE	MDG	NW
A69_01_1FE	MDG	NW
A69_02_1FE	MDG	NW
A70_01_1FE	MDG	NW
A70_03_1FE	MDG	NW
A72_01_1FE	MDG	NW
A72_02_1FE	MDG	NW
A73_01_1FE	MDG	NW
A73_02_1FE	MDG	NW
A75_02_1FE	MDG	NW
A79_02_1FE	MDG	NW
A81_01_1FE	MDG	NW
A81_03_1FE	MDG	NW
A82_02_1FE	MDG	NW
A83_02_1FE	MDG	NW
A85_01_1FE	MDG	NW
