	P057	P054	P052	P050	P049	P048	P047	P046	P044	P043	P042	P040	P039	P037	P036	P035	P034	P029	P028	P027	P022	P019	P016	P015	P014	P013	P011	P009	P007	P006	P004	P003	P002	MSM_L2_F7	MSM_L2_F5	MSM_L2_F4	MSM_L2_F3	MSM_L2_F2	MSM_L2_E9	MSM_L2_E8	MSM_L2_E7	MSM_L2_E6	MSM_L2_E5	MSM_L2_E4	MSM_L2_E3	MSM_L2_E2	MSM_L2_E1	MSM_L2_E11	MSM_L2_E10	MSM_L2_D9	MSM_L2_D8	MSM_L2_D7	MSM_L2_D6	MSM_L2_D4	MSM_L2_D3	MSM_L2_D1	MSM_L2_D12	MSM_L2_D11	MSM_L2_D10	MSM_L2_C9	MSM_L2_C8	MSM_L2_C7	MSM_L2_C6	MSM_L2_C2	MSM_L2_C1	MSM_L2_C12	MSM_L2_B9	MSM_L2_B8	MSM_L2_B6	MSM_L2_B5	MSM_L2_B12	MSM_L2_B11	MSM_L2_A8	MSM_L2_A5	MSM_L2_A1	MSM_L2_A12	MSM_L2_A10	MSM_L1_D3	MSM_L1_D1	MSM_L1_D12	MSM_L1_D10	MSM_L1_C7	MSM_L1_C3	MSM_L1_C2	MSM_L1_B5	MSM_L1_B2	MSM_L1_B11	MSM_L1_B10	MSM_L1_A9	MSM_L1_A7	MSM_L1_A5	MSM_L1_A10	KHK8	KHK59	KHK58	KHK57	KHK56	KHK55	KHK54	KHK53	KHK52	KHK51	KHK4	KHK48	KHK46	KHK44	KHK43	KHK3	KHK39	KHK37	KHK36	KHK35	KHK34	KHK33	KHK2	KHK29	KHK28	KHK25	KHK24	KHK1	KHK19	KHK16	KHK11
Alloprevotella_tannerae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Paraprevotella_clara	0.0	0.05126	0.21868	0.11876	0.03489	0.0	0.00448	0.01632	0.0	0.04034	0.55301	0.05067	0.00401	0.11346	0.12674	0.65852	0.01338	0.03335	0.04641	0.45943	0.0	0.0381	0.02307	0.81641	0.11063	0.0	0.0	0.12496	0.00482	0.0352	0.08361	0.10769	0.06434	0.0	0.13803	0.0	0.0	0.40169	0.0	0.01695	0.0	0.03367	0.09491	0.22199	0.19438	0.11282	0.03107	0.0	0.57879	0.01691	0.0	0.03084	0.60526	0.0452	0.00477	0.11531	0.0	0.0028	0.02055	0.0354	0.13107	0.02406	2.9728	1.01892	0.0	0.14581	0.59026	0.0	0.00041	0.03677	0.00043	0.14876	0.07609	0.03958	0.81316	0.00805	0.0	0.0	5.61791	0.0	0.0	0.0	0.00394	0.0	1.46859	4.13612	0.0	0.386	0.0	0.74899	0.0	0.0	0.0	0.00654	0.39715	0.20724	0.01532	0.0	0.00436	0.18203	0.20593	0.01309	0.0	0.87895	0.06275	0.00582	0.19624	0.29112	0.00429	0.0	0.01118	0.00348	0.00723	0.0202	0.42681	0.12644	0.17151	0.59079	0.18296	0.33347	0.91352	0.11053	0.92825
Paraprevotella_xylaniphila	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09888	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.03081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Prevotellamassilia_timonensis	12.72893	0.0	9.3883	5.5716	0.50285	0.0	2.75608	0.0	0.0	0.0	0.0	0.0	0.58568	0.0	0.16516	3.67451	0.0	3.19035	0.0	0.0	0.0	0.0	0.8278	0.0	0.0	0.0	0.0	3.00921	0.0	0.0	5.49255	0.0	0.10486	0.0	0.0	0.0	0.0	0.6136	16.32349	0.0	0.28646	0.0	0.0	10.33347	0.0	5.76499	0.71356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58572	0.0	0.0	3.08337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2337	0.0	2.40302	0.0	0.0	0.0	0.0	0.0	0.0	4.44009	0.0019	0.0	0.0	0.0	0.07896	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.97255	2.62674	0.0	0.0	0.0	0.12885	0.0	0.0	0.14378	0.0	0.0	0.0	0.0	0.0	4.33894	4.64297	0.0	0.07741	6.76711	2.14751	0.0	0.01586	1.26443	3.9361	0.0	0.0	0.0	0.0	0.0	0.61758
Prevotella_amnii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Prevotella_bivia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00218	0.0	0.0	0.0	0.0071	0.00052	0.0	0.0	0.0	0.0	0.0	0.0065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02442	0.01325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02541	0.0	0.0	0.0	0.0	0.0	0.0035	0.0	0.0	0.0	0.0	0.0	0.0	0.00029	0.0	0.0	0.0	0.00305	0.00041	0.0	0.00066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03336	0.0	0.03173	0.01828	0.01609	0.0	0.11702	0.0	0.0	0.0	0.00747	0.0	0.0	0.0	0.0	0.0	0.0	0.07436	0.0	0.0	0.0	0.00176	0.0	0.0	0.0	0.0	0.0	0.03421	0.00053	0.0	0.0	0.00658	0.0	0.00047	0.0	0.08404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01195
Prevotella_brunnea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Prevotella_buccalis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00354	0.0	0.0	0.0	0.05038	0.00066	0.0	0.00137	0.0	0.00052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Prevotella_colorans	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Prevotella_copri_clade_A	13.83063	32.60793	42.06673	13.50249	7.20521	9.87599	34.09809	19.00157	11.24957	7.09724	4.0837	41.99555	11.94034	0.0531	2.51697	13.97207	18.80404	17.27922	20.20054	17.6597	0.0	3.48284	8.95363	0.0	20.00886	0.0	23.33621	2.49928	6.87281	26.05199	35.30521	0.82333	0.27121	0.08703	23.93306	0.0	0.0	0.65842	11.0621	11.68969	6.83131	34.11177	2.43834	40.69286	0.98194	12.98006	7.39613	0.0	0.0	14.5762	11.2469	6.47903	4.11704	44.35658	11.25639	0.1581	9.61205	31.91709	18.25594	0.16662	3.16047	19.11074	0.0	8.74957	14.54132	2.83064	2.30814	12.26048	0.02768	14.07069	3.62828	6.52434	4.46141	5.2169	3.61346	7.5183	0.57988	34.63773	0.0	0.23396	0.0	0.0	0.29702	83.38591	0.0	0.0	0.0	9.78702	0.0	0.0	11.79814	0.0	8.82318	9.821	39.95284	20.58408	0.24005	0.0573	1.34857	1.10983	2.71225	6.37579	8.59302	35.86527	22.88527	4.75723	2.51402	43.25745	15.00242	0.0	0.60593	20.31967	11.24769	14.21862	8.69945	12.18158	10.63231	17.15181	6.27076	0.0	0.0	0.24006	3.63207
