repeat	fold	roc_auc
49	0	0.825
49	1	0.5555555555555556
49	2	0.6944444444444444
48	0	0.725
48	1	0.6527777777777777
48	2	0.625
47	0	0.6187499999999999
47	1	0.7291666666666666
47	2	0.6805555555555556
46	0	0.5750000000000001
46	1	0.5833333333333334
46	2	0.6111111111111112
45	0	0.68125
45	1	0.6666666666666666
45	2	0.6527777777777778
44	0	0.55
44	1	0.5972222222222222
44	2	0.5347222222222223
43	0	0.7124999999999999
43	1	0.6805555555555556
43	2	0.6527777777777778
42	0	0.6625
42	1	0.5902777777777778
42	2	0.7152777777777778
41	0	0.7
41	1	0.4861111111111111
41	2	0.7777777777777777
40	0	0.7250000000000001
40	1	0.4861111111111111
40	2	0.6805555555555556
39	0	0.44999999999999996
39	1	0.4375
39	2	0.6944444444444444
38	0	0.725
38	1	0.6388888888888888
38	2	0.5972222222222222
37	0	0.6625
37	1	0.38888888888888884
37	2	0.7638888888888888
36	0	0.6
36	1	0.7083333333333333
36	2	0.75
35	0	0.66875
35	1	0.6111111111111112
35	2	0.7916666666666666
34	0	0.6875
34	1	0.7986111111111112
34	2	0.625
33	0	0.89375
33	1	0.6388888888888888
33	2	0.7916666666666666
32	0	0.775
32	1	0.6666666666666666
32	2	0.8194444444444444
31	0	0.5125000000000001
31	1	0.5833333333333333
31	2	0.7638888888888888
30	0	0.6000000000000001
30	1	0.7569444444444445
30	2	0.736111111111111
29	0	0.875
29	1	0.5555555555555556
29	2	0.5694444444444444
28	0	0.65
28	1	0.625
28	2	0.6388888888888888
27	0	0.6625000000000001
27	1	0.8055555555555556
27	2	0.6388888888888888
26	0	0.6437500000000002
26	1	0.5833333333333334
26	2	0.8055555555555556
25	0	0.8625
25	1	0.5555555555555556
25	2	0.6944444444444444
24	0	0.6375000000000001
24	1	0.8055555555555556
24	2	0.5416666666666666
23	0	0.8125
23	1	0.7638888888888888
23	2	0.736111111111111
22	0	0.6000000000000001
22	1	0.48611111111111105
22	2	0.625
21	0	0.7374999999999999
21	1	0.7569444444444444
21	2	0.625
20	0	0.725
20	1	0.8472222222222222
20	2	0.6805555555555556
19	0	0.8125
19	1	0.7083333333333334
19	2	0.6527777777777778
18	0	0.8
18	1	0.7291666666666667
18	2	0.5277777777777777
17	0	0.7374999999999999
17	1	0.6805555555555556
17	2	0.6805555555555556
16	0	0.775
16	1	0.625
16	2	0.6180555555555556
15	0	0.7625
15	1	0.5694444444444444
15	2	0.6944444444444444
14	0	0.6625
14	1	0.861111111111111
14	2	0.7847222222222222
13	0	0.8125
13	1	0.5694444444444444
13	2	0.75
12	0	0.7
12	1	0.6527777777777778
12	2	0.5555555555555556
11	0	0.775
11	1	0.49999999999999994
11	2	0.6666666666666666
10	0	0.50625
10	1	0.8333333333333334
10	2	0.4583333333333333
9	0	0.4375
9	1	0.736111111111111
9	2	0.5277777777777777
8	0	0.65
8	1	0.5416666666666667
8	2	0.4861111111111111
7	0	0.85
7	1	0.6944444444444444
7	2	0.6319444444444444
6	0	0.775
6	1	0.7777777777777778
6	2	0.5833333333333333
5	0	0.625
5	1	0.7361111111111112
5	2	0.7638888888888888
4	0	0.7875
4	1	0.4305555555555556
4	2	0.7916666666666666
3	0	0.6
3	1	0.6111111111111112
3	2	0.6666666666666666
2	0	0.6437499999999999
2	1	0.6944444444444444
2	2	0.8472222222222222
1	0	0.6124999999999999
1	1	0.6666666666666666
1	2	0.6944444444444444
0	0	0.6875
0	1	0.6458333333333333
0	2	0.7708333333333334
